file_name,image_base64
allium,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAAwUlEQVQ4y2NgGJTA6PJfhkvLvv3fUfH2/7K4h//V1/xmsPj4lzjNgbchml+c//cfZki134L/RNuOrBlEg1wAYhNtCMhGmM3I3iDagP2lvxlgtsI0g+hjrb+J88KW6N9gDLLRq18DrBkmThIAuQRkwL3DTWA2CJMMgmbp/QdpvLfrN4Puwb+kGxC6Wve/bQ8Xg8Z6MmyHGSBTxk1+igR5QaydgTIDsjfYM0S7mpFnACgWuk4kke8C8RqW//lbfPGqAQDr5phhwwZadgAAAABJRU5ErkJggg==
amethyst_block,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAFVBMVEX+y+bIkPCmePGNasx6W7VkR55dOppI3xRrAAAAeklEQVR42g3LwRGDIBAF0D+mASdkvBuhAbKbuy5rAfLpQOi/hOTdHyi+Y+MXtlHyMEX1Gq8eHdThvEKBvXoz6o388LLK2TBP0Y2twhKjmCuYcnDWhGJRhx0BJYeTWRT2fqqtm+P6t3b0CH6WdhcGuCXffZ/QKWWWe/kBljEdyt/kygIAAAAASUVORK5CYII=
amethyst_cluster,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAGFBMVEUAAAD//dX+y+bPoPOzjvONasx6W7VkR57jjLTVAAAAAXRSTlMAQObYZgAAAG1JREFUeNo1yMENglAQBuHZ/3Ema2yA0AArDWgNtmYFNiQ2oHL3AuFMIOHBnL6M2BOQDjS3jMQ5I1BsWH5DPm1b5WPgoDqebqRaPnGCxpSGi/WPJcQ1zO4FehWdexkfzX2MTLxFZ3yrP8K8lDkrHtIWIYo1yIEAAAAASUVORK5CYII=
ancient_debris_side,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAFVBMVEWVhn5+YFllR0BdNCxKLCNBHhUzGBAKcpvAAAAAdUlEQVR42gVAuRHCMBBcngJkD5BrD3K4lcnxyRSAjXMY0X8LDPy8PEe7OOjpGCwGXftsKkJQGhw9QnX4dSbMLWGVAtOHeVNLwfQl2WrF9HI3oMNpFm8kseadgjSsY9pWOvGelRengIPUZAl5E6WFCFq9P7DnH7+IF56stQIhAAAAAElFTkSuQmCC
ancient_debris_top,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAFVBMVEWVhn5+YFllR0BdNCxKLCNBHhUzGBAKcpvAAAAAhElEQVR42g3GvRaCIAAG0A9LZiR1Dk85m3qa1SPNED8znIL3fwS904Vj4DINL8QyJwEygnG2u6wKDNmCb7vCf3Y+8RjwW/t7rcOZ57vUMWjYlrYqLBaSXh9ViBJN2WRnggStNcS8fED7ZJ2PZ6aRkWK6gTU+J7tRmAqk88rgexHdSog+AONGGxKM90UuAAAAAElFTkSuQmCC
andesite,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAElBMVEWoqpqcnJyKio5/f390dHRoaGiVw0gLAAAAb0lEQVR42gVACxHDIAx9VEETZoCXVgAhAigfAb3b/FvZIR7Gmy1QD5fjnhWLsmfVBtmjnGoXPOVGxgOaafyGwmuKN5HI3F2NBVwfLVYPXFpadCXosbuw4cuZshtRVIzhFxLJk6uB9xQzTxhh7i72B5/VE568GfX/AAAAAElFTkSuQmCC
anvil,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAcUlEQVR42i2OsQ1EUQjDGCuNm5S5jvLtP8jpAw2So8SiwE7ee687hsLpHuxJCpIMvZcOhT18GxeJr9LppoQT/7qTGFTD4I9taRzJnHRQMYlPnXXM3PeYwPZJmGDQi6gkgfCiNA0jcdPSJsPb0Gp3IP0BMSFEiD54mEoAAAAASUVORK5CYII=
anvil_top,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAElBMVEUAAABSUlJKSkpCQkI9PT04ODiwFTqsAAAAAXRSTlMAQObYZgAAAFxJREFUeNolysERwCAIBdEPKUCwA00DmfRfS0oQrICI3nZmH+N6u94PGDCjwAoiCfOM4rVJLseYGdE1zcZhJ1BlY4cx0pDEMbqOZJRvCjLW8m2Gkx6jTdIwqSjwA/A3IGN636zVAAAAAElFTkSuQmCC
attached_melon_stem,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAD1BMVEUAAADFxsW0srSLjYtiYWKWsqR9AAAAAXRSTlMAQObYZgAAAC9JREFUeNpjIA8IOkAZxsYCDAYQpomzA1TMBEIzORhDRRgY4QwDKIMJk+HAwMAAANMhA+MQ7gwyAAAAAElFTkSuQmCC
attached_pumpkin_stem,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAAbElEQVR42mNgGAWDABw+fPg/CIeEhPwny4Cenp7/yBhkGLJ8a2vrf5INBLkGhEGaSXbZ1KlT4a4hWfPWrVvhmmCGFBUV/Sc7gK9fv06ZAWfPnv0/efJk8g3YuHHj/6qqqgE0ABSobm5ueA0AAMBKVqcHkQM8AAAAAElFTkSuQmCC
azalea_leaves,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAD1BMVEUAAABwki1sgDFQaSw6TCZikRf/AAAAAXRSTlMAQObYZgAAAHBJREFUeNoNxsEVhCAMBcAvpgACWwCQLSAhFoCS/mvSy7yB7lk1MNHorjpywnKP0n+EYrLYLwIfGad24BMBHqgrOl/nFyXj/zasQ8RqOPyuxUYeEFNux5dGW5A8gXzrZFlIfSxjCcxSAv40uGUCPfICoioQjMR2fYEAAAAASUVORK5CYII=
azalea_plant,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAIVBMVEUAAABwki1sgDFkcjNQaSxqUidJXidCVS1bRBxMOBdEMA+qTjADAAAAAXRSTlMAQObYZgAAAIVJREFUeNotyDsKAjEURuEfHyCWuSGFXZiQPgoKdjcZIljNFqIXbdXCPdhNqbU2ukqFeKqPg51TmbIwHDV+efALZKV1I8ai5Ug2kQGnxGFeBIVDjConiPmN1nlcZKXCxhFEu7O9EmGkZqJfZY8Bb4fr5wnAcfr+oHbvHxXjW/9Hh9qkA/AFk/0Ymh0dPO0AAAAASUVORK5CYII=
azalea_side,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAFVBMVEUAAABwki1sgDFkcjNQaSxJXidCVS06A2XmAAAAAXRSTlMAQObYZgAAAGJJREFUeNqVyMENhDAMBdG/EgWs7KSACKeAgOCME8IZkLkD/RcBLTCn0cMuVLmaQriNwxF7VHKuNR8wa+ZQ2ENL0dRthk1TzlQLzL8wS8RtI6VFGI2TK5z8Dv0bh98K6ITPPfH3Dzntdt6bAAAAAElFTkSuQmCC
azalea_top,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAD1BMVEVwki1sgDFkcjNQaSxJXieeZ3ugAAAAZElEQVR42hXFUQHDIBBEwXfEwGUxwHIVQMBB/YtqOj/Dutxeh2Vl9rjxPBGXDIWa7k4t9Z5NRFF7pqlUFQYi2nET/s8A0nvP2CiGPZSMuXJkN0/rTVeAvJe2Hu58VlofznjpfH/vTguihMxZowAAAABJRU5ErkJggg==
azure_bluet,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAAvklEQVQ4y2NgGAWDEGit+81wb9dvhv2lvxmuvXjx/8mrTwxam/4waG74y6C25Dd+zY5v/zJYPf3L8P+N///v37//B9EgQ461/mbYEv2bwfDeX8IugNkcNEvvf+hq3f/3DjcxwAwj6AKYzZ8+zQEbAmKDMMggEJ+g7TDFN+49Y/Dq1wBrAhkKcg1RAQiyGaQRZAhIU/4WXwaYZpg3iDIIphgWDiAxor0BMwCkGKQJhslKEzCvkJ2oQOEBCgd8AAB7qakILgzq0QAAAABJRU5ErkJggg==
bamboo_block,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAJFBMVEW521+tvk2YsUWRpkOKmj2IjTaCjziAkDh1gzNwhTVlcDBaZyqRwHhwAAAAcklEQVR42hXMIRIEIQwF0X+EMVwGvya5BThwpNYkDnC45MLDVJtWD9OchJ2xdOSwINT/k/ybYvu4jozCofJ7EipLF94Hi0YXk4ZJw6JJR8mi0qrhSUGuRbGP080wedDIzij0KXFH49pCWBYcTRSLXUXdXtZjNVihTnVwAAAAAElFTkSuQmCC
bamboo_block_top,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAFVBMVEXBxE+4u1qmoVWVj0CBhjlkby5TYRrG9G0BAAAATElEQVR42j3MQQ2AMAAEwcMCDwRAUgMQDIAEHFD/Gpppk+aeO7ms57JbSt1+y/2VvlzP8Vp0LjoXnYvOheAyBEMwxPzhonN+PDHjqQHVehkdhrBTuwAAAABJRU5ErkJggg==
bamboo_door_bottom,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAIVBMVEX456Lv2X7jzGrZwl7Tu1DCtU7IsU23q0m7qEypmEaZh0G9T2HXAAAAjklEQVR42mMQdjNSMlZgsWRYnOaSlsLWaMWwKGtGZwdnoyXDpKxmJWVHMUuGRZ4ZpeVtS7QYFnskJ5uZTdNimOzp7GxiMg2oJtPZWUVliiZDo4aTk4pKkwTD5IrksnSzdisGJs90ZaMSoGKhzLKUtPQlmmCTZ81aAtTlBbRUeRmQ4Qm01A1kYCZQauUUSwAdJy2rcS6gYwAAAABJRU5ErkJggg==
bamboo_door_top,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAJFBMVEUAAAD456Lv2X7jzGrZwl7Tu1DCtU7IsU23q0m7qEypmEaZh0F2xitRAAAAAXRSTlMAQObYZgAAAIdJREFUeNpjWLVy1u5dK2ftYthuYuJs7GJczbCktLy8tDTci2FJ9O7dq1dv9WZQiWZmYDDY7s2gXNXalhGx3IphkiULA4PDZE2GJd3NDAwWO7wZFleB1Cz3YthcDRJZbs2wBaxrK5BRlQwUAZqzpBpqzuJqsDnWDJujQeYAGSLVu1ft2r3cCwBVCDCt0IF88wAAAABJRU5ErkJggg==
bamboo_fence,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAJFBMVEUAAADz4Izv2X7jzGrZwl7Tu1DCtU7IsU23q0m7qEyZh0F5azZBF5afAAAAAXRSTlMAQObYZgAAAINJREFUeNpjmOxq4jp5+kxzhhJX751OxibKDCUm3iubMzotGAyVI7oYQKA1Yqb5TPMZEximuLkomyibT2CY7Nph1mmRAWSYMzAwcFgYMBS7AxnMGgEMU0AMdmMFoDkgqXADoDlABqenA0NrJEjK3YFhijlIsTJQDVh7RABDsikDSM4AAF5sHg72d020AAAAAElFTkSuQmCC
bamboo_fence_gate,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAG1BMVEUAAADv2X7jzGrZwl7Tu1DCtU7IsU23q0m7qExZjMt2AAAAAXRSTlMAQObYZgAAAGlJREFUeNo1jcENgzAQwDzDrXA09B1KwgRkgRNsgG6RRBm7EQhLlp/GuDF8UbNFnVAP93oEpJ4h11MoUdMctbC1/ltb30gwzYx8QYSRADkzklpPnyEaNaxRFbn2KV+7UJ5FwZ6F4dw4L3/SqBosUwz9owAAAABJRU5ErkJggg==
bamboo_fence_gate_particle,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAFVBMVEXjzGrZwl7Tu1DCtU7IsU23q0m7qEwdCFC1AAAAP0lEQVR42mMwcBJQBmGGQCdHIRBmUFRhZAFhBgW3oBAQZjAQSXQCYQZDNUUjEGZwVFEQBmGGIEcHNxBmoJI5ALsuGI1Q5bz+AAAAAElFTkSuQmCC
bamboo_fence_particle,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAFVBMVEXjzGrZwl7Tu1DCtU7IsU23q0m7qEwdCFC1AAAAP0lEQVR42mMwcBJQBmGGQCdHIRBmUFRhZAFhBgW3oBAQZjAQSXQCYQZDNUUjEGZwVFEQBmGGIEcHNxBmoJI5ALsuGI1Q5bz+AAAAAElFTkSuQmCC
bamboo_large_leaves,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAHlBMVEVnoSRSiRlFdhY3WhUvRRdnoSRSiRlFdhY3WhUvRRfLSo7lAAAABXRSTlMAAAAAAMJrBrEAAACLSURBVHjaDcaxDoIwFAXQm6jl8QM4O/IBxNlNNxYejEDysGw6tMTNpdhuLJryt3KmAxDFgd8A7DC5r34gqcTO0TMOIpGmwUGpGUqMAnxMY1OXoEqvq+5bGK5jeHUAN1v2T6DXI51Zl0i6Ni2YDfBJd4UTC7q7cXHOQxnR4acISSYU/AJcjll+u+anP8rlKJ/40+B1AAAAAElFTkSuQmCC
bamboo_mosaic,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAG1BMVEXjzGrZwl7Tu1DCtU7IsU23q0m7qEyZh0GSgDt8hP3CAAAAhklEQVR42hXKQQ6CMBAF0E/iAWjiBSCYcU9IXLakMl0KWtNlx6BXKDdojy0sX/IgTtyz9wMiCzeoFIQ1vcbWwpDmnFKCUKT3uk6INFNTQ+HBM/uxs1jCEnLJCb33w2cHKqiTOBMwtt09snZIJW/axRvsb/oaJwRV4xzZMDrbXuQ4Wy77Mdc/4/wjj914kQ0AAAAASUVORK5CYII=
bamboo_planks,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAHlBMVEXv2X7jzGrZwl7Tu1DCtU7IsU23q0m7qEyZh0GQfjp8w4zJAAAAfklEQVR42hWMwQ3DIBAENyX4kgYMDVhCpAJcAZx486EDREq4qwDoNljznNGghvqpIVSY4/2ik074+CXnmLFk/WQNRW+5cS4ZZI7NdSBG59NdLHSIrDkEW7fGvWFrMrtCKjbdjiNkNzp0oeUeuOT+fMhcdIKd51Csw9Slc4j+AQbvKXVHeJccAAAAAElFTkSuQmCC
bamboo_singleleaf,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAAUUlEQVQ4y2P4//8/AyUYTGROUPo/Zbf/fxANxGQZwBBQKkaWIXADgJrBhoAMCGsU+k+SASAM1Aw3BIZJMgBmCAyT7AJ0Q8g2gKxoHDVgxBsAAMEP2v0j6wGeAAAAAElFTkSuQmCC
bamboo_small_leaves,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAHlBMVEX///9SiRlFdhYvRRdnoSRSiRlFdhY3WhUvRRcrPhYfy41GAAAABHRSTlMAAAAAs5NmmgAAAHVJREFUeNo9yzEOwjAQBMD7Qp7ASXGPzsGmRHAv8P2AFNRESLToKNynSPLbeJtsNdrVEnUteiMiqXO0sSFfa7QBTcqf4dwQR/9eAH0Ud6Do3QWQUmT74fWSnFNDXUQSpml1fQIy/U2B7t2bnQAOfQCYOTDTkR25hxj1FyI4oAAAAABJRU5ErkJggg==
bamboo_stage0,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAMAAAAoLQ9TAAAASFBMVEX///9OlA07ahA7aQ86aQ+YkFWXkFWXj1RppTV9dTt8dDpOlA1lXB47ahA7aQ86aQ9XQB9XPx9WPx9HKxBFKRA3IxA3IhA2Ig+YbDoiAAAABXRSTlMAAAAAAMJrBrEAAABTSURBVHjajcxLEoAgDANQv0SlCEWw97+pM65MV3bVvMlk+H15dhAnB1tyFcSR8llbXmiigSGtYgQi9aYNU92pgCsIgaAaPtCLHEFpokCNAEX7+z4XCwMrjdtF7AAAAABJRU5ErkJggg==
bamboo_stalk,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAGFBMVEWX0VWNwk95qEJgmBZZkANTgglGbQw9YxfMACGQAAAAbklEQVR42i3MsQnDQBAF0a8OzmDldg+n3IL5BRi061ggoQqOa98XKH0MI2fGUddJBGX25yXgajHEEPsEiq06+/pQeVac61u9ATHk3CdvBpFXHAsIn2WuIEM/DQpqfu9P/DqozNgJuprBoBHEtsAfbYciD3StIGsAAAAASUVORK5CYII=
bamboo_trapdoor,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAJFBMVEUAAAD456Lv2X7jzGrZwl7Tu1DCtU7IsU23q0m7qEypmEaZh0F2xitRAAAAAXRSTlMAQObYZgAAAI9JREFUeNpj2LVq1kbtlbN2Myw3VnUyCTKuZpiy3KKjvLnKi2FyQoMDCwebN8Pi1FTT4LAwK4bNDQkGzGwclgxbUowVmIw9rBi2NDQwMHCwWzEsaUhgYGBj92SYDJHyBGk3YOZgs2SY0grWDlbjwMLG4cWwealFeHtzlxfDdmNVY5Mgk2qG1btmr5q1c/VuAILMLKA8gltwAAAAAElFTkSuQmCC
barrel_bottom,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAFVBMVEWIZTmCYTp6WjRwUi5hSy5aRCRVOh/7MrZ8AAAAfElEQVR42h3MQQ6DIBRF0Uc0jgvdALxPHFt+F2AsdNyBdGxMYP9LqOkd3xyQAOGBKbeXZj0w2uCYuGHaS6+tfzAuGGC4Qlx6pmATJDBaJwlzLb3X/UA0xNV1WisqsmGgKqnp77TyPRFv5o7BLIhW5eHciln1nVVPeJAe5A/ZExSxQspcTwAAAABJRU5ErkJggg==
barrel_side,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAHlBMVEWZcUCLZzyAXjZ4WDZrUzJmTShFPztVOh8wLCkoIhzvqI70AAAAaklEQVR42l3MSw7DIBADUJuk6noiRqwDRXOCqjdCnATNFbht89nFT5a8MogblDckGistoLfWfIyOOX2egZXf4VugYvKS945I5bqtOzREfkISpCXSrlFM0qICH613H/74OaBuyrOwXLNly397kBjiKVRVMQAAAABJRU5ErkJggg==
barrel_top,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAFVBMVEV6enqZcUCLZzyAXjZbW1trUzJmTSi6EPerAAAAcUlEQVR42jWOSwrDMAxEB3oCycTrSqLdW8En6AnSoOydQO5/hNiBMJsHw3zgxEMJObYax9Ywxaw6xx+f1VRLXTAVVRLrIMZUpCFLYhJymOqAbr1/ROWGVwduyMlJhR3mTHrH10Sj8JlY8I2zHmfseG5c9aQVUlMO9YsAAAAASUVORK5CYII=
barrel_top_open,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAGFBMVEWZcUCLZzyAXjZrUzJmTShGMRI4JgwvHwlJlz7iAAAAZElEQVR42mNQZGAEQSYGFmMTZWMnEwcGZmPX0NAQY0MGYZPQ9LJQZwMGZtf08vKyECAjtBwIQh0YWMJAjFRFBqFwEKMUKAVnQKSAaiCKgWrg2uEGQqwwYBAxdlF2cjF2ZIA5AwBkOiGj6ifWNAAAAABJRU5ErkJggg==
basalt_side,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAD1BMVEVcXFxPS086O0gyMz0bJjJg13CmAAAAZ0lEQVR42h3HwRWDMAxEwa/QwEqmAGRSAMJpAJL+a4oftxnWlJAXn/Gg8y2Bwvk5SKfz1mz3m/2wrmg349iSaMlo3W1pQSmM5XbKDThhTMiuCRnJteCyKMudapkV6lS+aLE5qxtmaX9RWgsu2U1pqQAAAABJRU5ErkJggg==
basalt_top,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAFVBMVEWJiYl0dHRcXFxPS089Pkw1NkEbJjKQtdqvAAAAeUlEQVR42gVAMRKCMBBcfYG5MfS3JPSC6cUAPZfBHp3k/09wQPc4HC1CL8dkYS2YU2F83UckzZrcteC8BB5ONnwlrGqBaGxGn5/wn+mt/jeDZQyuVcGSNWy7J8aBFkUL6KqKsELdopPFhjNqTs0GVGO3exVYz+7WK/8XOBkoTz+GBwAAAABJRU5ErkJggg==
beacon,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAHlBMVEX////u///W//7E//7M7PCc8u1v49xJ1cwry8ArubCw6MYmAAAAY0lEQVR42mOAA86ZMzs6OmZOYeCc0dFe0dEJZHSUl5WXd0xh4GgvT0srr2gBMsqCTdOBDM72VCPlMBCjPFlRyCwdKFUGYpQDFUOkEIph2sEGlqeXd4AYICtADJClM4GWukABAJACLvlnO3vrAAAAAElFTkSuQmCC
bedrock,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAAAAAA6mKC9AAAAcElEQVR42jWPMQ0DQBSFvpazgBgEPFHYbdKmCwth4AZgM0E8ttai9pDjwQNCzZ1tPlMAvEcAwmrjUFF4X3A190e8U/EnkXkrQVeruq8TmUC7LVY8qsE9FVy51TuBCQsAby2fwMPVbcI/An9zNdwD9wFD0lUf95ycGwAAAABJRU5ErkJggg==
beehive_end,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAD1BMVEXCnWK4lF+vj1WfhE2WdEG+hkbaAAAAYUlEQVR42jXOwQ0DIRBDUUNSAJ8KdoYGENAB9F9ThpXio/UsWUVvkrLXadRH2doAihIOdhsHqhV999pznR4cRYpyvZYwAHf+ccO9PYHnOWtfrMSLoQ0jzACHrtwM8K7/jR8JCwrn7lCIRQAAAABJRU5ErkJggg==
beehive_front,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAGFBMVEXCnWK4lF+vj1WLi4qfhE2WdEF+YjdnUCy8qEZmAAAAcklEQVR42kWKsQrCQBBEn6DW7pLT+hb1E7QOiLUpxNaoXD5A4v6+y6XIm2KG4bGhsqCzLKKW6NRETBI+eIk4473ymEefzCy3W95NyLQn+iaaeMZLJRxW7jd2fKbnyhOWwJqv6F5Ez7yyHNTsiA/Fvfz8D0pdGzjbCikSAAAAAElFTkSuQmCC
